Date, Cold/Low-Food 1 , Cold/Low-Food 2 , Warm/Low-Food 1 , Warm/Low-Food 2 , Cold/High-Food 1 , Cold/High-Food 2 , Warm/High-Food 1 , Warm/High-Food 2 
12/13/17, 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 , 1.000 
12/20/17, 1.000 , 1.000 , 1.000 , 0.988 , 0.989 , 1.000 , 1.000 , 0.988 
12/26/17, 1.000 , 1.000 , 0.988 , 0.988 , 0.978 , 1.000 , 0.988 , 0.988 
1/2/18, 0.989 , 1.000 , 0.976 , 0.988 , 0.967 , 1.000 , 0.988 , 0.988 
1/3/18, 0.989 , 1.000 , 0.976 , 0.953 , 0.967 , 1.000 , 0.988 , 0.988 
1/16/18, 0.966 , 1.000 , 0.964 , 0.953 , 0.945 , 1.000 , 0.953 , 0.988 
1/23/18, 0.966 , 0.989 , 0.952 , 0.941 , 0.912 , 1.000 , 0.953 , 0.976 
2/5/18, 0.966 , 0.977 , 0.940 , 0.941 , 0.901 , 1.000 , 0.929 , 0.952 
2/9/18, 0.966 , 0.977 , 0.928 , 0.941 , 0.901 , 1.000 , 0.929 , 0.952 
2/14/18, 0.955 , 0.977 , 0.928 , 0.941 , 0.890 , 0.988 , 0.918 , 0.940 
2/21/18, 0.943 , 0.977 , 0.916 , 0.941 , 0.879 , 0.988 , 0.918 , 0.940 
2/27/18, 0.943 , 0.977 , 0.916 , 0.929 , 0.879 , 0.975 , 0.906 , 0.917 
3/9/18, 0.943 , 0.977 , 0.916 , 0.929 , 0.879 , 0.975 , 0.894 , 0.917 
3/13/18, 0.932 , 0.977 , 0.916 , 0.929 , 0.868 , 0.951 , 0.894 , 0.869 
3/23/18, 0.818 , 0.793 , 0.831 , 0.894 , 0.637 , 0.667 , 0.847 , 0.810 
3/25/18, 0.807 , 0.770 , 0.831 , 0.882 , 0.604 , 0.617 , 0.835 , 0.810 
3/27/18, 0.773 , 0.759 , 0.819 , 0.882 , 0.582 , 0.568 , 0.835 , 0.810 
3/30/18, 0.761 , 0.724 , 0.819 , 0.871 , 0.571 , 0.531 , 0.835 , 0.798 
4/3/18, 0.761 , 0.678 , 0.807 , 0.859 , 0.560 , 0.494 , 0.835 , 0.798 
4/8/18, 0.750 , 0.678 , 0.807 , 0.859 , 0.560 , 0.469 , 0.835 , 0.798 
4/14/18, 0.739 , 0.678 , 0.807 , 0.847 , 0.549 , 0.469 , 0.835 , 0.798 
4/17/18, 0.739 , 0.655 , 0.807 , 0.847 , 0.549 , 0.469 , 0.824 , 0.798 
4/22/18, 0.739 , 0.655 , 0.795 , 0.835 , 0.527 , 0.469 , 0.824 , 0.798 
4/27/18, 0.739 , 0.655 , 0.795 , 0.812 , 0.527 , 0.469 , 0.812 , 0.798 